0:0:0:0:0:0:0:1 - - [20/May/2019:23:35:21 +0900] "GET /Betiepo/View/css/formain.css HTTP/1.1" 200 5448
0:0:0:0:0:0:0:1 - - [20/May/2019:23:35:21 +0900] "GET /Betiepo/img/create.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:35:21 +0900] "GET /Betiepo/img/logo.png HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [20/May/2019:23:38:46 +0900] "GET /Betiepo/TemplateView/main.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [20/May/2019:23:38:46 +0900] "GET /Betiepo/View/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:38:46 +0900] "GET /Betiepo/View/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:38:46 +0900] "GET /Betiepo/View/css/form_top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:38:46 +0900] "GET /Betiepo/View/css/forbottom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:38:46 +0900] "GET /Betiepo/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:38:46 +0900] "GET /Betiepo/View/css/formain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:38:46 +0900] "GET /Betiepo/img/create.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:38:47 +0900] "GET /Betiepo/img/logo.png HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:08 +0900] "GET /Betiepo/TemplateView/main.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:08 +0900] "GET /Betiepo/img/logo.png HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:09 +0900] "GET /Betiepo/TemplateView/main.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:09 +0900] "GET /Betiepo/img/logo.png HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:21 +0900] "GET /Betiepo/View/css/formain.css HTTP/1.1" 200 5446
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:31 +0900] "GET /Betiepo/TemplateView/main.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:31 +0900] "GET /Betiepo/View/css/form_top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:31 +0900] "GET /Betiepo/View/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:31 +0900] "GET /Betiepo/View/css/formain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:31 +0900] "GET /Betiepo/View/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:31 +0900] "GET /Betiepo/View/css/forbottom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:31 +0900] "GET /Betiepo/img/create.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:31 +0900] "GET /Betiepo/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:51 +0900] "GET /Betiepo/TemplateView/main.jsp HTTP/1.1" 200 3651
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:51 +0900] "GET /Betiepo/View/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2019:23:39:51 +0900] "GET /Betiepo/View/css/form_top.css HTTP/1.1" 304 -
